date;BTC_drawdown_pct;GOLD_drawdown_pct;ETF_drawdown_pct
2014-09-17;0,0;0,0;0,0
2014-09-18;-7,19;0,0;0,0
2014-09-19;-13,67;-0,59;-0,3
2014-09-22;-12,07;-0,79;-1,11
2014-09-23;-4,71;-0,15;-1,73
2014-09-24;-7,46;-0,62;-1,12
2014-09-25;-10,01;-0,33;-2,72
2014-09-26;-11,57;-0,61;-2,05
2014-09-29;-17,9;-0,64;-2,61
2014-09-30;-15,39;-1,33;-2,85
2014-10-01;-16,12;-0,86;-4,12
2014-10-02;-17,99;-0,88;-4,5
2014-10-03;-21,39;-2,69;-3,96
2014-10-06;-27,83;-1,49;-3,46
2014-10-07;-26,49;-1,21;-4,93
2014-10-08;-22,83;-0,26;-3,36
2014-10-09;-20,18;-0,12;-5,54
2014-10-10;-20,94;-0,16;-6,98
2014-10-13;-14,63;0,0;-7,62
2014-10-14;-12,35;0,0;-7,49
2014-10-15;-13,68;0,0;-8,15
2014-10-16;-16,35;0,0;-8,41
2014-10-17;-16,09;-0,19;-7,13
2014-10-20;-16,29;0,0;-6,47
2014-10-21;-15,49;0,0;-5,08
2014-10-22;-16,22;-0,57;-5,81
2014-10-23;-21,63;-1,25;-4,75
2014-10-24;-21,64;-1,39;-4,21
2014-10-27;-22,82;-1,63;-4,47
2014-10-28;-21,8;-1,6;-3,27
2014-10-29;-26,62;-3,01;-3,69
2014-10-30;-24,5;-4,02;-2,97
2014-10-31;-26,02;-6,13;-1,68
2014-11-03;-28,38;-6,56;-2,09
2014-11-04;-27,74;-6,5;-2,56
2014-11-05;-25,77;-8,52;-2,16
2014-11-06;-23,62;-8,45;-2,26
2014-11-07;-25,13;-5,87;-2,03
2014-11-10;-19,77;-7,97;-1,81
2014-11-11;-19,6;-6,65;-1,48
2014-11-12;-7,38;-7,1;-1,8
2014-11-13;-8,0;-6,96;-1,65
2014-11-14;-13,01;-4,62;-1,52
2014-11-17;-15,29;-4,97;-1,67
2014-11-18;-17,96;-4,14;-0,94
2014-11-19;-16,79;-5,28;-1,11
2014-11-20;-21,76;-4,3;-1,17
2014-11-21;-23,28;-3,86;-0,31
2014-11-24;-17,59;-4,09;-0,07
2014-11-25;-17,93;-3,87;-0,12
2014-11-26;-19,45;-4,05;0,0
2014-11-28;-17,69;-6,59;-0,61
2014-12-01;-17,07;-2,87;-1,23
2014-12-02;-16,62;-4,07;-0,81
2014-12-03;-18,0;-3,07;-0,54
2014-12-04;-19,18;-3,45;-0,77
2014-12-05;-17,6;-4,66;-0,67
2014-12-08;-20,87;-3,53;-1,6
2014-12-09;-22,98;-1,52;-1,91
2014-12-10;-24,26;-1,72;-3,39
2014-12-11;-23,36;-1,94;-3,32
2014-12-12;-22,91;-2,17;-4,95
2014-12-15;-24,49;-4,69;-5,99
2014-12-16;-28,49;-4,22;-6,27
2014-12-17;-30,08;-4,79;-4,68
2014-12-18;-31,91;-4,06;-2,6
2014-12-19;-30,5;-4,37;-2,34
2014-12-22;-27,43;-6,22;-1,76
2014-12-23;-26,84;-6,07;-1,79
2014-12-24;-29,48;-6,04;-1,61
2014-12-26;-28,3;-4,32;-1,21
2014-12-29;-31,63;-5,29;-1,43
2014-12-30;-32,05;-4,02;-2,07
2014-12-31;-29,99;-5,37;-2,95
2015-01-02;-31,12;-4,95;-3,18
2015-01-05;-39,98;-3,52;-5,09
2015-01-06;-37,42;-2,42;-6,07
2015-01-07;-35,64;-2,99;-4,84
2015-01-08;-38,04;-3,4;-3,35
2015-01-09;-36,5;-2,3;-3,95
2015-01-12;-41,44;-1,22;-4,49
2015-01-13;-50,61;-1,55;-4,43
2015-01-14;-61,06;-1,71;-4,88
2015-01-15;-54,12;0,0;-5,09
2015-01-16;-54,5;0,0;-3,98
2015-01-20;-53,79;0,0;-3,76
2015-01-21;-50,39;0,0;-3,05
2015-01-22;-48,96;0,0;-1,92
2015-01-23;-49,08;-0,8;-2,52
2015-01-26;-40,2;-1,79;-1,86
2015-01-27;-42,39;-0,66;-2,54
2015-01-28;-48,85;-1,45;-3,83
2015-01-29;-48,94;-3,57;-2,92
2015-01-30;-50,49;-1,42;-4,23
