date;asset;indexed_value
2017-11-09;BTC;1000,0
2017-11-10;BTC;926,45
2017-11-13;BTC;918,24
2017-11-14;BTC;928,91
2017-11-15;BTC;1024,07
2017-11-16;BTC;1101,93
2017-11-17;BTC;1079,15
2017-11-20;BTC;1147,97
2017-11-21;BTC;1129,86
2017-11-22;BTC;1155,38
2017-11-24;BTC;1155,4
2017-11-27;BTC;1374,43
2017-11-28;BTC;1408,09
2017-11-29;BTC;1384,27
2017-11-30;BTC;1432,56
2017-12-01;BTC;1536,43
2017-12-04;BTC;1631,84
2017-12-05;BTC;1668,17
2017-12-06;BTC;2000,61
2017-12-07;BTC;2505,7
2017-12-08;BTC;2319,48
2017-12-11;BTC;2370,91
2017-12-12;BTC;2437,91
2017-12-13;BTC;2296,92
2017-12-14;BTC;2318,73
2017-12-15;BTC;2478,72
2017-12-18;BTC;2675,72
2017-12-19;BTC;2488,49
2017-12-20;BTC;2327,21
2017-12-21;BTC;2212,18
2017-12-22;BTC;1936,26
2017-12-26;BTC;2253,74
2017-12-27;BTC;2217,17
2017-12-28;BTC;2044,7
2017-12-29;BTC;2051,66
2018-01-02;BTC;2097,28
2018-01-03;BTC;2127,92
2018-01-04;BTC;2183,67
2018-01-05;BTC;2439,88
2018-01-08;BTC;2123,6
2018-01-09;BTC;2043,15
2018-01-10;BTC;2096,05
2018-01-11;BTC;1876,62
2018-01-12;BTC;1957,09
2018-01-16;BTC;1608,51
2018-01-17;BTC;1566,25
2018-01-18;BTC;1606,32
2018-01-19;BTC;1624,87
2018-01-22;BTC;1530,24
2018-01-23;BTC;1521,42
2018-01-24;BTC;1590,16
2018-01-25;BTC;1576,16
2018-01-26;BTC;1563,84
2018-01-29;BTC;1581,34
2018-01-30;BTC;1414,74
2018-01-31;BTC;1430,81
2018-02-01;BTC;1283,75
2018-02-02;BTC;1236,18
2018-02-05;BTC;973,64
2018-02-06;BTC;1085,45
2018-02-07;BTC;1066,87
2018-02-08;BTC;1157,07
2018-02-09;BTC;1223,05
2018-02-12;BTC;1249,59
2018-02-13;BTC;1203,64
2018-02-14;BTC;1329,11
2018-02-15;BTC;1423,15
2018-02-16;BTC;1432,6
2018-02-20;BTC;1596,36
2018-02-21;BTC;1496,5
2018-02-22;BTC;1400,56
2018-02-23;BTC;1442,01
2018-02-26;BTC;1451,19
2018-02-27;BTC;1501,43
2018-02-28;BTC;1455,56
2018-03-01;BTC;1532,98
2018-03-02;BTC;1551,94
2018-03-05;BTC;1620,1
2018-03-06;BTC;1509,03
2018-03-07;BTC;1395,04
2018-03-08;BTC;1315,17
2018-03-09;BTC;1307,12
2018-03-12;BTC;1288,59
2018-03-13;BTC;1287,15
2018-03-14;BTC;1157,66
2018-03-15;BTC;1162,0
2018-03-16;BTC;1167,25
2018-03-19;BTC;1208,17
2018-03-20;BTC;1247,76
2018-03-21;BTC;1249,97
2018-03-22;BTC;1221,86
2018-03-23;BTC;1243,02
2018-03-26;BTC;1149,2
2018-03-27;BTC;1096,51
2018-03-28;BTC;1113,51
2018-03-29;BTC;1003,1
2018-04-02;BTC;991,63
2018-04-03;BTC;1043,75
2018-04-04;BTC;959,44
2018-04-05;BTC;953,51
2018-04-06;BTC;928,99
2018-04-09;BTC;947,81
2018-04-10;BTC;956,77
2018-04-11;BTC;975,47
2018-04-12;BTC;1104,38
2018-04-13;BTC;1105,32
2018-04-16;BTC;1128,1
2018-04-17;BTC;1106,18
2018-04-18;BTC;1142,76
2018-04-19;BTC;1161,09
2018-04-20;BTC;1238,29
2018-04-23;BTC;1250,2
2018-04-24;BTC;1357,51
2018-04-25;BTC;1238,28
2018-04-26;BTC;1299,28
2018-04-27;BTC;1258,06
2018-04-30;BTC;1293,55
2018-05-01;BTC;1276,53
2018-05-02;BTC;1292,9
2018-05-03;BTC;1364,0
2018-05-04;BTC;1357,97
2018-05-07;BTC;1312,09
2018-05-08;BTC;1292,74
2018-05-09;BTC;1305,39
2018-05-10;BTC;1266,02
2018-05-11;BTC;1181,69
2018-05-14;BTC;1220,23
2018-05-15;BTC;1191,33
2018-05-16;BTC;1171,52
2018-05-17;BTC;1133,09
2018-05-18;BTC;1155,02
2018-05-21;BTC;1178,54
2018-05-22;BTC;1125,74
2018-05-23;BTC;1057,99
2018-05-24;BTC;1062,12
2018-05-25;BTC;1047,11
2018-05-29;BTC;1046,06
2018-05-30;BTC;1036,81
2018-05-31;BTC;1049,08
2018-06-01;BTC;1055,7
2018-06-04;BTC;1051,92
2018-06-05;BTC;1068,62
2018-06-06;BTC;1071,45
2018-06-07;BTC;1074,84
2018-06-08;BTC;1067,38
2018-06-11;BTC;966,87
2018-06-12;BTC;921,44
2018-06-13;BTC;888,9
2018-06-14;BTC;934,45
2018-06-15;BTC;903,83
2018-06-18;BTC;942,78
2018-06-19;BTC;947,7
2018-06-20;BTC;948,62
2018-06-21;BTC;942,07
2018-06-22;BTC;851,63
2018-06-25;BTC;874,8
2018-06-26;BTC;853,03
2018-06-27;BTC;861,91
2018-06-28;BTC;826,4
2018-06-29;BTC;870,47
2018-07-02;BTC;925,89
2018-07-03;BTC;914,05
2018-07-05;BTC;929,39
2018-07-06;BTC;934,2
2018-07-09;BTC;943,75
2018-07-10;BTC;886,1
2018-07-11;BTC;895,17
2018-07-12;BTC;871,95
2018-07-13;BTC;873,24
2018-07-16;BTC;943,75
2018-07-17;BTC;1024,84
2018-07-18;BTC;1031,8
2018-07-19;BTC;1045,25
2018-07-20;BTC;1029,47
2018-07-23;BTC;1079,45
2018-07-24;BTC;1179,28
2018-07-25;BTC;1145,28
2018-07-26;BTC;1113,11
2018-07-27;BTC;1142,99
2018-07-30;BTC;1145,15
2018-07-31;BTC;1089,15
2018-08-01;BTC;1067,38
2018-08-02;BTC;1059,29
2018-08-03;BTC;1040,71
2018-08-06;BTC;973,15
2018-08-07;BTC;945,34
2018-08-08;BTC;882,72
2018-08-09;BTC;919,46
2018-08-10;BTC;865,77
2018-08-13;BTC;881,57
2018-08-14;BTC;867,87
2018-08-15;BTC;883,1
2018-08-16;BTC;886,77
2018-08-17;BTC;921,19
2018-08-20;BTC;883,1
2018-08-21;BTC;908,33
2018-08-22;BTC;892,65
2018-08-23;BTC;914,79
2018-08-24;BTC;940,7
2018-08-27;BTC;963,75
2018-08-28;BTC;993,38
2018-08-29;BTC;986,5
2018-08-30;BTC;976,85
2018-08-31;BTC;985,16
2018-09-04;BTC;1030,53
2018-09-05;BTC;950,9
2018-09-06;BTC;913,99
2018-09-07;BTC;905,3
2018-09-10;BTC;886,07
2018-09-11;BTC;884,88
2018-09-12;BTC;889,16
2018-09-13;BTC;912,33
2018-09-14;BTC;911,69
2018-09-17;BTC;879,28
2018-09-18;BTC;891,89
2018-09-19;BTC;895,7
2018-09-20;BTC;912,66
2018-09-21;BTC;942,8
2018-09-24;BTC;923,26
2018-09-25;BTC;902,41
2018-09-26;BTC;909,21
2018-09-27;BTC;934,65
2018-09-28;BTC;930,08
2018-10-01;BTC;922,45
2018-10-02;BTC;917,76
2018-10-03;BTC;910,27
2018-10-04;BTC;920,64
2018-10-05;BTC;927,05
2018-10-08;BTC;931,22
2018-10-09;BTC;929,88
2018-10-10;BTC;921,88
2018-10-11;BTC;875,78
2018-10-12;BTC;878,35
2018-10-15;BTC;923,42
2018-10-16;BTC;923,36
2018-10-17;BTC;916,13
2018-10-18;BTC;906,65
2018-10-19;BTC;905,07
2018-10-22;BTC;908,11
2018-10-23;BTC;906,51
2018-10-24;BTC;909,33
2018-10-25;BTC;906,59
2018-10-26;BTC;906,37
2018-10-29;BTC;886,48
2018-10-30;BTC;886,71
2018-10-31;BTC;884,38
2018-11-01;BTC;892,8
2018-11-02;BTC;894,29
2018-11-05;BTC;898,66
2018-11-06;BTC;904,45
2018-11-07;BTC;914,13
2018-11-08;BTC;903,43
2018-11-09;BTC;893,9
2018-11-12;BTC;891,89
2018-11-13;BTC;890,24
2018-11-14;BTC;803,29
2018-11-15;BTC;790,64
2018-11-16;BTC;780,5
2018-11-19;BTC;681,94
2018-11-20;BTC;623,2
2018-11-21;BTC;644,24
2018-11-23;BTC;608,53
2018-11-26;BTC;529,02
2018-11-27;BTC;534,85
2018-11-28;BTC;595,98
2018-11-29;BTC;598,98
2018-11-30;BTC;562,36
2018-12-03;BTC;545,12
2018-12-04;BTC;553,91
2018-12-06;BTC;492,9
2018-12-07;BTC;478,74
2018-12-10;BTC;490,32
2018-12-11;BTC;479,39
2018-12-12;BTC;488,12
2018-12-13;BTC;463,87
2018-12-14;BTC;453,9
2018-12-17;BTC;496,37
2018-12-18;BTC;517,4
2018-12-19;BTC;524,38
2018-12-20;BTC;578,76
2018-12-21;BTC;545,46
2018-12-24;BTC;570,95
2018-12-26;BTC;539,97
2018-12-27;BTC;511,62
2018-12-28;BTC;549,29
2018-12-31;BTC;523,93
2019-01-02;BTC;552,02
2019-01-03;BTC;537,09
2019-01-04;BTC;540,03
2019-01-07;BTC;563,48
2019-01-08;BTC;564,26
2019-01-09;BTC;564,88
2019-01-10;BTC;515,0
2019-01-11;BTC;516,18
2019-01-14;BTC;518,79
2019-01-15;BTC;508,24
2019-01-16;BTC;511,65
2019-01-17;BTC;514,95
2019-01-18;BTC;512,05
2019-01-22;BTC;504,59
2019-01-23;BTC;501,87
2019-01-24;BTC;504,07
2019-01-25;BTC;503,92
2019-01-28;BTC;485,81
2019-01-29;BTC;482,69
2019-01-30;BTC;488,02
2019-01-31;BTC;484,04
2019-02-01;BTC;488,26
2019-02-04;BTC;484,23
2019-02-05;BTC;485,24
2019-02-06;BTC;477,88
2019-02-07;BTC;475,88
2019-02-08;BTC;513,3
2019-02-11;BTC;510,73
2019-02-12;BTC;511,44
2019-02-13;BTC;508,44
2019-02-14;BTC;506,31
2019-02-15;BTC;506,86
2019-02-19;BTC;552,54
2019-02-20;BTC;559,92
2019-02-21;BTC;553,52
2019-02-22;BTC;560,72
2019-02-25;BTC;543,52
2019-02-26;BTC;539,56
2019-02-27;BTC;539,09
2019-02-28;BTC;539,62
2019-03-01;BTC;540,29
2019-03-04;BTC;526,56
2019-03-05;BTC;545,44
2019-03-06;BTC;546,5
2019-03-07;BTC;547,55
2019-03-08;BTC;546,1
2019-03-11;BTC;546,68
2019-03-12;BTC;547,23
2019-03-13;BTC;546,89
2019-03-14;BTC;549,36
2019-03-15;BTC;554,47
2019-03-18;BTC;564,49
2019-03-19;BTC;569,91
2019-03-20;BTC;572,19
2019-03-21;BTC;564,05
2019-03-22;BTC;563,3
2019-03-25;BTC;554,77
2019-03-26;BTC;557,85
2019-03-27;BTC;572,13
2019-03-28;BTC;569,62
2019-03-29;BTC;573,71
2019-04-01;BTC;582,09
2019-04-02;BTC;683,11
2019-04-03;BTC;696,15
2019-04-04;BTC;689,12
2019-04-05;BTC;705,06
2019-04-08;BTC;740,49
2019-04-09;BTC;728,62
2019-04-10;BTC;745,36
2019-04-11;BTC;708,96
2019-04-12;BTC;712,46
2019-04-15;BTC;709,32
2019-04-16;BTC;732,9
2019-04-17;BTC;735,2
2019-04-18;BTC;741,7
2019-04-22;BTC;755,83
2019-04-23;BTC;780,05
2019-04-24;BTC;765,0
2019-04-25;BTC;729,4
2019-04-26;BTC;739,03
2019-04-29;BTC;734,56
2019-04-30;BTC;749,03
2019-05-01;BTC;756,3
2019-05-02;BTC;770,66
2019-05-03;BTC;807,48
2019-05-06;BTC;804,47
2019-05-07;BTC;816,05
2019-05-08;BTC;837,46
2019-05-09;BTC;864,35
2019-05-10;BTC;892,95
2019-05-13;BTC;1093,98
2019-05-14;BTC;1119,1
2019-05-15;BTC;1148,61
2019-05-16;BTC;1103,78
2019-05-17;BTC;1028,04
2019-05-20;BTC;1116,85
2019-05-21;BTC;1114,75
2019-05-22;BTC;1075,1
2019-05-23;BTC;1103,35
2019-05-24;BTC;1118,12
2019-05-28;BTC;1220,67
2019-05-29;BTC;1212,21
2019-05-30;BTC;1164,61
2019-05-31;BTC;1200,31
2019-06-03;BTC;1149,14
2019-06-04;BTC;1078,98
2019-06-05;BTC;1095,28
2019-06-06;BTC;1094,97
2019-06-07;BTC;1126,04
2019-06-10;BTC;1119,93
2019-06-11;BTC;1109,77
2019-06-12;BTC;1140,3
2019-06-13;BTC;1152,21
2019-06-14;BTC;1217,01
2019-06-17;BTC;1304,72
2019-06-18;BTC;1271,32
2019-06-19;BTC;1298,16
2019-06-20;BTC;1333,67
2019-06-21;BTC;1420,09
2019-06-24;BTC;1541,4
2019-06-25;BTC;1650,56
2019-06-26;BTC;1822,09
2019-06-27;BTC;1565,43
2019-06-28;BTC;1736,85
2019-07-01;BTC;1481,49
2019-07-02;BTC;1512,08
2019-07-03;BTC;1674,41
2019-07-05;BTC;1536,83
2019-07-08;BTC;1719,86
2019-07-09;BTC;1760,16
2019-07-10;BTC;1701,74
2019-07-11;BTC;1590,05
2019-07-12;BTC;1654,07
2019-07-15;BTC;1525,16
2019-07-16;BTC;1326,74
2019-07-17;BTC;1357,0
2019-07-18;BTC;1493,16
2019-07-19;BTC;1474,15
2019-07-22;BTC;1447,89
2019-07-23;BTC;1385,97
2019-07-24;BTC;1373,53
2019-07-25;BTC;1387,52
2019-07-26;BTC;1381,7
2019-07-29;BTC;1332,55
2019-07-30;BTC;1344,9
2019-07-31;BTC;1411,85
