date;BTC;GOLD;ETF
2014-09-17;1000,0;1000,0;1000,0
2014-09-18;928,07;1002,04;1006,31
2014-09-19;863,26;996,17;1003,32
2014-09-22;879,34;994,13;995,19
2014-09-23;952,89;1000,51;988,88
2014-09-24;925,37;995,83;995,02
2014-09-25;899,94;998,72;978,92
2014-09-26;884,31;995,92;985,73
2014-09-29;820,99;995,66;980,08
2014-09-30;846,09;988,68;977,59
2014-10-01;838,81;993,45;964,81
2014-10-02;820,13;993,19;961,0
2014-10-03;786,1;975,07;966,47
2014-10-06;721,75;987,15;971,45
2014-10-07;735,1;989,96;956,68
2014-10-08;771,73;999,4;972,45
2014-10-09;798,16;1000,85;950,54
2014-10-10;790,59;1000,43;936,1
2014-10-13;853,67;1008,34;929,63
2014-10-14;876,54;1008,93;930,95
2014-10-15;863,21;1012,34;924,32
2014-10-16;836,49;1014,29;921,66
2014-10-17;839,12;1012,34;934,61
2014-10-20;837,12;1019,23;941,24
2014-10-21;845,06;1021,1;955,19
2014-10-22;837,81;1015,31;947,88
2014-10-23;783,71;1008,34;958,51
2014-10-24;783,55;1006,89;963,98
2014-10-27;771,84;1004,42;961,33
2014-10-28;781,96;1004,76;973,44
2014-10-29;733,8;990,39;969,13
2014-10-30;755,04;980,01;976,43
2014-10-31;739,77;958,48;989,38
2014-11-03;716,22;954,14;985,23
2014-11-04;722,65;954,74;980,58
2014-11-05;742,32;934,06;984,56
2014-11-06;763,75;934,83;983,57
2014-11-07;748,72;961,12;985,89
2014-11-10;802,31;939,77;988,05
2014-11-11;804,0;953,21;991,37
2014-11-12;926,15;948,61;988,22
2014-11-13;919,97;950,06;989,71
2014-11-14;869,86;973,88;991,04
2014-11-17;847,1;970,31;989,54
2014-11-18;820,4;978,82;996,85
2014-11-19;832,12;967,16;995,19
2014-11-20;782,45;977,2;994,52
2014-11-21;767,16;981,71;1003,15
2014-11-24;824,13;979,33;1005,64
2014-11-25;820,73;981,62;1005,15
2014-11-26;805,47;979,75;1009,13
2014-11-28;823,13;953,8;1002,99
2014-12-01;829,25;991,83;996,68
2014-12-02;833,78;979,58;1001,0
2014-12-03;819,99;989,71;1003,65
2014-12-04;808,17;985,88;1001,33
2014-12-05;824,02;973,54;1002,32
2014-12-08;791,35;985,03;993,03
2014-12-09;770,16;1005,53;989,88
2014-12-10;757,36;1003,57;974,94
2014-12-11;766,41;1001,28;975,6
2014-12-12;770,86;998,89;959,17
2014-12-15;755,13;973,2;948,71
2014-12-16;715,15;977,96;945,89
2014-12-17;699,22;972,18;961,93
2014-12-18;680,89;979,67;982,86
2014-12-19;694,99;976,43;985,53
2014-12-22;725,7;957,55;991,39
2014-12-23;731,57;959,16;991,06
2014-12-24;705,25;959,42;992,9
2014-12-26;717,03;976,94;996,92
2014-12-29;683,68;967,08;994,74
2014-12-30;679,45;980,09;988,21
2014-12-31;700,13;966,31;979,34
2015-01-02;688,84;970,56;977,0
2015-01-05;600,16;985,2;957,74
2015-01-06;625,78;996,43;947,87
2015-01-07;643,59;990,56;960,26
2015-01-08;619,57;986,39;975,32
2015-01-09;635,0;997,62;969,3
2015-01-12;585,56;1008,68;963,77
2015-01-13;493,86;1005,27;964,44
2015-01-14;389,44;1003,66;959,92
2015-01-15;458,84;1028,93;957,74
2015-01-16;455,02;1042,37;968,96
2015-01-20;462,06;1056,66;971,14
2015-01-21;496,13;1056,92;978,34
2015-01-22;510,36;1065,42;989,72
2015-01-23;509,21;1056,92;983,69
2015-01-26;597,97;1046,37;990,39
2015-01-27;576,11;1058,36;983,53
2015-01-28;511,48;1050,03;970,47
2015-01-29;510,6;1027,39;979,67
2015-01-30;495,1;1050,28;966,45
2015-02-02;520,91;1041,52;979,01
2015-02-03;496,94;1029,86;994,24
2015-02-04;496,03;1034,37;988,38
2015-02-05;474,73;1036,16;999,09
2015-02-06;486,0;1009,36;990,72
2015-02-09;481,29;1013,87;987,21
2015-02-10;480,7;1007,91;995,58
2015-02-11;479,27;996,0;993,07
2015-02-12;484,91;998,3;1005,46
2015-02-13;514,78;1003,74;1011,82
2015-02-17;532,67;986,98;1012,65
2015-02-18;516,75;989,79;1014,66
2015-02-19;525,4;986,39;1014,5
2015-02-20;533,04;980,77;1021,36
2015-02-23;522,36;982,05;1018,68
2015-02-24;522,01;980,6;1023,37
2015-02-25;519,25;984,35;1023,87
2015-02-26;516,97;987,49;1022,2
2015-02-27;555,02;988,26;1019,69
2015-03-02;602,78;984,18;1023,7
2015-03-03;615,97;982,39;1018,35
2015-03-04;597,14;979,33;1013,66
2015-03-05;603,89;978,39;1014,66
2015-03-06;596,33;951,68;1000,94
2015-03-09;633,25;952,61;1002,28
2015-03-10;637,96;947,93;984,03
2015-03-11;648,06;942,23;984,53
2015-03-12;643,63;941,98;996,08
2015-03-13;623,91;943,34;989,72
2015-03-16;635,41;942,74;1001,61
2015-03-17;624,28;937,64;1000,6
2015-03-18;560,42;956,01;1016,84
2015-03-19;570,54;955,33;1008,13
2015-03-20;572,34;966,22;1023,2
2015-03-23;583,25;972,35;1024,21
2015-03-24;537,01;974,73;1021,19
2015-03-25;538,33;976,09;1010,48
2015-03-26;543,44;982,47;1005,46
2015-03-27;540,15;978,9;1006,46
2015-03-30;541,24;967,76;1015,17
2015-03-31;534,02;966,99;1004,79
2015-04-01;540,68;983,49;1007,8
2015-04-02;553,22;980,77;1013,83
2015-04-06;558,66;992,77;1022,2
2015-04-07;553,6;987,83;1020,52
2015-04-08;535,76;982,39;1027,05
2015-04-09;532,82;975,58;1031,07
2015-04-10;516,19;986,64;1035,59
2015-04-13;491,08;979,58;1030,06
2015-04-14;479,21;973,63;1033,92
2015-04-15;489,43;982,05;1039,61
2015-04-16;499,79;978,65;1041,11
2015-04-17;487,35;983,49;1028,22
2015-04-20;491,16;976,01;1033,75
2015-04-21;514,44;981,62;1036,76
2015-04-22;512,05;968,44;1041,28
2015-04-23;517,04;975,5;1045,13
2015-04-24;505,69;961,8;1048,81
2015-04-27;501,35;981,2;1048,48
2015-04-28;493,85;989,71;1050,49
2015-04-29;493,75;982,73;1044,46
2015-04-30;516,35;965,37;1033,58
2015-05-01;507,46;962,06;1042,96
2015-05-04;522,63;970,73;1045,3
2015-05-05;516,3;973,46;1032,07
2015-05-06;502,44;972,95;1029,23
2015-05-07;518,95;964,95;1029,4
2015-05-08;533,23;969,63;1045,8
2015-05-11;529,5;965,88;1039,61
2015-05-12;527,21;974,14;1037,43
2015-05-13;516,86;991,58;1040,11
2015-05-14;518,07;996,94;1051,16
2015-05-15;519,54;999,91;1053,17
2015-05-18;509,75;999,83;1052,33
2015-05-19;507,17;985,96;1050,49
2015-05-20;511,7;987,58;1050,32
2015-05-21;514,6;984,26;1054,51
2015-05-22;525,54;983,49;1050,32
2015-05-26;518,47;969,12;1036,09
2015-05-27;518,84;968,95;1043,62
2015-05-28;519,11;970,05;1041,78
2015-05-29;518,43;970,73;1033,58
2015-06-01;487,45;969,88;1032,91
2015-06-02;493,74;973,8;1034,59
2015-06-03;493,89;966,82;1038,27
2015-06-04;490,5;960,01;1028,22
2015-06-05;491,88;954,91;1022,03
2015-06-08;499,61;957,72;1018,01
2015-06-09;500,83;959,84;1015,5
2015-06-10;500,3;968,01;1030,57
2015-06-11;502,27;963,59;1033,58
2015-06-12;502,88;963,33;1026,38
2015-06-15;517,83;967,59;1021,02
2015-06-16;548,6;964,1;1023,54
2015-06-17;545,08;968,61;1024,21
2015-06-18;544,48;981,11;1034,42
2015-06-19;534,85;979,41;1028,22
