date;BTC;GOLD;ETF
2014-09-17;457,33;117,54;48,11
2014-09-18;424,44;117,78;48,41
2014-09-19;394,8;117,09;48,27
2014-09-22;402,15;116,85;47,88
2014-09-23;435,79;117,6;47,58
2014-09-24;423,2;117,05;47,87
2014-09-25;411,57;117,39;47,1
2014-09-26;404,42;117,06;47,42
2014-09-29;375,47;117,03;47,15
2014-09-30;386,94;116,21;47,03
2014-10-01;383,61;116,77;46,42
2014-10-02;375,07;116,74;46,23
2014-10-03;359,51;114,61;46,5
2014-10-06;330,08;116,03;46,74
2014-10-07;336,19;116,36;46,03
2014-10-08;352,94;117,47;46,78
2014-10-09;365,03;117,64;45,73
2014-10-10;361,56;117,59;45,04
2014-10-13;390,41;118,52;44,72
2014-10-14;400,87;118,59;44,79
2014-10-15;394,77;118,99;44,47
2014-10-16;382,56;119,22;44,34
2014-10-17;383,76;118,99;44,96
2014-10-20;382,85;119,8;45,28
2014-10-21;386,48;120,02;45,95
2014-10-22;383,16;119,34;45,6
2014-10-23;358,42;118,52;46,11
2014-10-24;358,35;118,35;46,38
2014-10-27;352,99;118,06;46,25
2014-10-28;357,62;118,1;46,83
2014-10-29;335,59;116,41;46,63
2014-10-30;345,3;115,19;46,98
2014-10-31;338,32;112,66;47,6
2014-11-03;327,55;112,15;47,4
2014-11-04;330,49;112,22;47,18
2014-11-05;339,49;109,79;47,37
2014-11-06;349,29;109,88;47,32
2014-11-07;342,42;112,97;47,43
2014-11-10;366,92;110,46;47,54
2014-11-11;367,7;112,04;47,7
2014-11-12;423,56;111,5;47,54
2014-11-13;420,73;111,67;47,62
2014-11-14;397,82;114,47;47,68
2014-11-17;387,41;114,05;47,61
2014-11-18;375,2;115,05;47,96
2014-11-19;380,55;113,68;47,88
2014-11-20;357,84;114,86;47,85
2014-11-21;350,85;115,39;48,26
2014-11-24;376,9;115,11;48,38
2014-11-25;375,35;115,38;48,36
2014-11-26;368,37;115,16;48,55
2014-11-28;376,45;112,11;48,25
2014-12-01;379,24;116,58;47,95
2014-12-02;381,32;115,14;48,16
2014-12-03;375,01;116,33;48,29
2014-12-04;369,6;115,88;48,17
2014-12-05;376,85;114,43;48,22
2014-12-08;361,91;115,78;47,77
2014-12-09;352,22;118,19;47,62
2014-12-10;346,36;117,96;46,9
2014-12-11;350,51;117,69;46,94
2014-12-12;352,54;117,41;46,15
2014-12-15;345,35;114,39;45,64
2014-12-16;327,06;114,95;45,51
2014-12-17;319,78;114,27;46,28
2014-12-18;311,4;115,15;47,29
2014-12-19;317,84;114,77;47,41
2014-12-22;331,89;112,55;47,7
2014-12-23;334,57;112,74;47,68
2014-12-24;322,53;112,77;47,77
2014-12-26;327,92;114,83;47,96
2014-12-29;312,67;113,67;47,86
2014-12-30;310,74;115,2;47,54
2014-12-31;320,19;113,58;47,12
2015-01-02;315,03;114,08;47,0
2015-01-05;274,47;115,8;46,08
2015-01-06;286,19;117,12;45,6
2015-01-07;294,34;116,43;46,2
2015-01-08;283,35;115,94;46,92
2015-01-09;290,41;117,26;46,63
2015-01-12;267,8;118,56;46,37
2015-01-13;225,86;118,16;46,4
2015-01-14;178,1;117,97;46,18
2015-01-15;209,84;120,94;46,08
2015-01-16;208,1;122,52;46,62
2015-01-20;211,32;124,2;46,72
2015-01-21;226,9;124,23;47,07
2015-01-22;233,41;125,23;47,62
2015-01-23;232,88;124,23;47,33
2015-01-26;273,47;122,99;47,65
2015-01-27;263,48;124,4;47,32
2015-01-28;233,91;123,42;46,69
2015-01-29;233,51;120,76;47,13
2015-01-30;226,43;123,45;46,5
2015-02-02;238,23;122,42;47,1
2015-02-03;227,27;121,05;47,83
2015-02-04;226,85;121,58;47,55
2015-02-05;217,11;121,79;48,07
2015-02-06;222,27;118,64;47,66
2015-02-09;220,11;119,17;47,49
2015-02-10;219,84;118,47;47,9
2015-02-11;219,18;117,07;47,78
2015-02-12;221,76;117,34;48,37
2015-02-13;235,43;117,98;48,68
2015-02-17;243,61;116,01;48,72
2015-02-18;236,33;116,34;48,82
2015-02-19;240,28;115,94;48,81
2015-02-20;243,78;115,28;49,14
2015-02-23;238,89;115,43;49,01
2015-02-24;238,74;115,26;49,23
2015-02-25;237,47;115,7;49,26
2015-02-26;236,43;116,07;49,18
2015-02-27;253,83;116,16;49,06
2015-03-02;275,67;115,68;49,25
2015-03-03;281,7;115,47;48,99
2015-03-04;273,09;115,11;48,77
2015-03-05;276,18;115,0;48,82
2015-03-06;272,72;111,86;48,16
2015-03-09;289,61;111,97;48,22
2015-03-10;291,76;111,42;47,34
2015-03-11;296,38;110,75;47,37
2015-03-12;294,35;110,72;47,92
2015-03-13;285,34;110,88;47,62
2015-03-16;290,59;110,81;48,19
2015-03-17;285,51;110,21;48,14
2015-03-18;256,3;112,37;48,92
2015-03-19;260,93;112,29;48,5
2015-03-20;261,75;113,57;49,23
2015-03-23;266,74;114,29;49,27
2015-03-24;245,6;114,57;49,13
2015-03-25;246,2;114,73;48,61
2015-03-26;248,53;115,48;48,37
2015-03-27;247,03;115,06;48,42
2015-03-30;247,53;113,75;48,84
2015-03-31;244,22;113,66;48,34
2015-04-01;247,27;115,6;48,49
2015-04-02;253,01;115,28;48,78
2015-04-06;255,49;116,69;49,18
2015-04-07;253,18;116,11;49,1
2015-04-08;245,02;115,47;49,41
2015-04-09;243,68;114,67;49,61
2015-04-10;236,07;115,97;49,82
2015-04-13;224,59;115,14;49,56
2015-04-14;219,16;114,44;49,74
2015-04-15;223,83;115,43;50,02
2015-04-16;228,57;115,03;50,09
2015-04-17;222,88;115,6;49,47
