date;BTC_return_pct;GOLD_return_pct;ETF_return_pct;BTC_real_return_pct;GOLD_real_return_pct;ETF_real_return_pct;BTC_cumulative;GOLD_cumulative;ETF_cumulative
2014-09-01;;;;;;;;;
2014-10-01;-12,5659;-3,0548;1,2054;-12,5486;-3,0356;1,2255;87,4341;96,9452;101,2054
2014-11-01;11,2692;-0,4882;1,3756;11,479;-0,3005;1,5668;97,2872;96,4719;102,5976
2014-12-01;-14,9434;1,3112;-2,3577;-14,6802;1,6247;-2,0555;82,7492;97,7369;100,1787
2015-01-01;-29,2848;8,6899;-1,3163;-28,8315;9,3867;-0,6836;58,5162;106,2301;98,8601
2015-02-01;12,1025;-5,9052;5,5084;11,819;-6,1431;5,2417;65,5981;99,957;104,3057
2015-03-01;-3,7837;-2,1522;-1,4612;-4,0422;-2,4151;-1,7259;63,1161;97,8057;102,7816
2015-04-01;-3,308;-0,1672;2,8657;-3,4087;-0,2711;2,7586;61,0282;97,6422;105,7271
2015-05-01;0,4027;0,5552;0,0;0,0727;0,2247;-0,3287;61,274;98,1843;105,7271
2015-06-01;10,9559;-1,5162;-2,5783;10,6496;-1,7881;-2,8472;67,9871;96,6956;103,0011
2015-07-01;8,2023;-6,621;0,8242;8,0309;-6,7689;0,6645;73,5636;90,2934;103,85
2015-08-01;-19,1793;3,7072;-6,8068;-19,179;3,7077;-6,8064;59,4546;93,6408;96,7811
2015-09-01;2,6098;-1,8011;-3,4372;2,8409;-1,5799;-3,2196;61,0062;91,9542;93,4546
2015-10-01;38,9541;2,2834;7,6567;38,8167;2,1823;7,5502;84,7707;94,0539;100,6101
2015-11-01;15,0316;-6,7521;-0,5338;14,8944;-6,8633;-0,6525;97,5131;87,7033;100,073
2015-12-01;14,1116;-0,4513;-2,1057;14,2344;-0,3441;-2,0003;111,2737;87,3075;97,9657
2016-01-01;-11,8664;5,411;-5,3028;-11,826;5,4593;-5,2593;98,0695;92,0317;92,7708
2016-02-01;15,3431;10,9303;-1,2486;15,4967;11,078;-1,1171;113,1164;102,091;91,6125
2016-03-01;-4,7905;-0,8429;7,3947;-5,0881;-1,1528;7,059;107,6975;101,2305;98,3869
2016-04-01;9,2069;5,1088;1,3379;8,7902;4,7077;0,9512;117,6131;106,4022;99,7032
2016-05-01;16,7632;-6,1383;0,3344;16,4879;-6,3597;0,0978;137,3289;99,8709;100,0367
2016-06-01;26,7133;8,9695;-0,0497;26,3626;8,6678;-0,3264;174,0141;108,8288;99,987
2016-07-01;-2,4275;1,9847;3,7702;-2,3783;2,0361;3,8225;169,7899;110,9887;103,7567
2016-08-01;-12,4081;-3,2563;0,3427;-12,5697;-3,4349;0,1575;148,7223;107,3746;104,1123
