date;BTC_vol_30d;GOLD_vol_30d;ETF_vol_30d
2014-09-17;;;
2014-09-18;;;
2014-09-19;;;
2014-09-22;;;
2014-09-23;;;
2014-09-24;;;
2014-09-25;;;
2014-09-26;;;
2014-09-29;;;
2014-09-30;;;
2014-10-01;;;
2014-10-02;;;
2014-10-03;;;
2014-10-06;;;
2014-10-07;;;
2014-10-08;;;
2014-10-09;;;
2014-10-10;;;
2014-10-13;;;
2014-10-14;;;
2014-10-15;;;
2014-10-16;;;
2014-10-17;;;
2014-10-20;;;
2014-10-21;;;
2014-10-22;;;
2014-10-23;;;
2014-10-24;;;
2014-10-27;;;
2014-10-28;;;
2014-10-29;67,61;10,23;16,09
2014-10-30;65,8;10,61;16,14
2014-10-31;63,13;12,2;16,64
2014-11-03;63,23;12,23;16,52
2014-11-04;57,46;12,03;16,48
2014-11-05;58,03;13,35;16,42
2014-11-06;58,57;13,29;15,71
2014-11-07;58,62;15,93;15,6
2014-11-10;59,14;17,05;15,51
2014-11-11;58,43;17,6;15,51
2014-11-12;73,27;17,54;15,02
2014-11-13;72,92;17,56;14,95
2014-11-14;73,72;18,42;14,88
2014-11-17;69,72;18,07;14,84
2014-11-18;70,46;18,24;14,17
2014-11-19;69,22;18,3;13,45
2014-11-20;70,91;18,58;11,51
2014-11-21;71,09;18,65;10,53
2014-11-24;70,57;18,48;10,16
2014-11-25;70,11;18,5;10,2
2014-11-26;70,17;18,46;9,78
2014-11-28;69,91;19,85;9,99
2014-12-01;69,94;23,26;9,74
2014-12-02;69,94;23,39;9,65
2014-12-03;70,07;23,62;8,87
2014-12-04;70,15;23,59;8,51
2014-12-05;67,65;23,77;8,03
2014-12-08;68,74;24,06;8,51
2014-12-09;69,07;24,84;8,53
2014-12-10;69,14;24,85;9,01
2014-12-11;66,71;24,48;8,91
2014-12-12;66,24;24,28;9,92
2014-12-15;66,25;24,61;9,46
2014-12-16;67,44;24,59;9,43
2014-12-17;67,72;24,67;10,76
2014-12-18;67,61;23,81;12,5
2014-12-19;67,32;23,85;12,53
2014-12-22;68,43;23,22;12,62
2014-12-23;65,03;22,24;12,61
2014-12-24;65,74;21,87;12,59
2014-12-26;46,94;22,42;12,6
2014-12-29;48,24;22,65;12,61
2014-12-30;46,31;21,8;12,76
2014-12-31;47,26;22,17;13,01
2015-01-02;46,74;22,05;12,82
2015-01-05;58,43;22,19;13,96
2015-01-06;58,42;22,23;14,2
2015-01-07;59,16;22,28;14,53
2015-01-08;54,82;22,31;15,32
2015-01-09;55,68;22,53;15,39
2015-01-12;59,21;22,72;15,37
2015-01-13;72,08;21,22;15,32
2015-01-14;91,3;17,91;15,28
2015-01-15;108,17;18,85;15,19
2015-01-16;108,2;18,98;15,62
2015-01-20;108,61;19,2;15,65
2015-01-21;111,26;18,69;15,83
2015-01-22;111,67;18,57;16,01
2015-01-23;111,61;17,99;16,08
2015-01-26;123,85;18,28;15,56
2015-01-27;124,08;18,47;15,71
2015-01-28;127,73;18,65;15,4
2015-01-29;127,71;18,15;15,23
2015-01-30;127,22;19,08;15,77
2015-02-02;128,36;19,18;15,46
2015-02-03;128,76;19,5;14,81
2015-02-04;128,5;19,46;14,91
2015-02-05;127,91;18,38;15,14
2015-02-06;128,19;20,16;15,34
2015-02-09;127,96;20,17;15,37
2015-02-10;127,74;19,67;15,53
2015-02-11;127,29;19,77;15,53
2015-02-12;127,42;19,42;15,81
2015-02-13;128,55;18,95;15,62
2015-02-17;129,08;19,63;15,59
2015-02-18;123,94;19,16;14,27
2015-02-19;123,36;18,89;13,8
2015-02-20;123,12;18,88;13,49
2015-02-23;122,8;18,85;12,92
2015-02-24;122,53;18,54;12,74
2015-02-25;120,49;18,26;12,55
2015-02-26;111,14;18,28;12,59
2015-02-27;92,24;18,28;12,5
2015-03-02;81,13;16,6;12,45
2015-03-03;80,99;16,03;12,3
2015-03-04;81,89;15,33;12,43
2015-03-05;79,62;15,31;12,3
2015-03-06;79,57;16,57;12,61
2015-03-09;81,13;16,57;12,46
2015-03-10;64,13;16,46;13,46
2015-03-11;63,11;15,87;13,31
2015-03-12;52,68;15,86;13,1
2015-03-13;53,81;14,96;13,0
2015-03-16;52,69;12,97;12,74
2015-03-17;51,58;12,9;12,25
2015-03-18;58,65;14,31;12,32
2015-03-19;58,75;14,17;12,47
2015-03-20;56,95;14,7;12,81
