asset;year;ann_vol_pct
BOND;2017;11,15
BTC;2017;135,15
EM;2017;13,45
ETF;2017;6,39
ETH;2017;140,25
GOLD;2017;9,28
BOND;2018;9,27
BTC;2018;77,04
EM;2018;21,28
ETF;2018;15,52
ETH;2018;107,12
GOLD;2018;9,75
BOND;2019;11,93
BTC;2019;69,42
EM;2019;15,12
ETF;2019;11,79
ETH;2019;76,46
GOLD;2019;11,66
BOND;2020;21,56
BTC;2020;72,34
EM;2020;33,96
ETF;2020;32,06
ETH;2020;97,13
GOLD;2020;19,47
BOND;2021;13,86
BTC;2021;78,6
EM;2021;17,86
ETF;2021;12,54
ETH;2021;108,69
GOLD;2021;13,68
BOND;2022;20,35
BTC;2022;63,56
EM;2022;23,63
ETF;2022;22,74
ETH;2022;87,02
GOLD;2022;15,28
BOND;2023;18,43
BTC;2023;47,38
EM;2023;15,49
ETF;2023;12,58
ETH;2023;49,72
GOLD;2023;13,39
BOND;2024;14,19
BTC;2024;56,74
EM;2024;15,49
ETF;2024;11,84
ETH;2024;67,61
GOLD;2024;15,01
BOND;2025;11,94
BTC;2025;39,77
EM;2025;17,63
ETF;2025;17,21
ETH;2025;71,29
GOLD;2025;19,85
BOND;2026;9,66
BTC;2026;53,23
EM;2026;26,33
ETF;2026;16,17
ETH;2026;72,47
GOLD;2026;37,66
