date;BTC;GOLD;ETF
2017-11-01;;;
2017-12-01;137,36;9,35;6,65
2018-01-01;135,28;8,55;6,57
2018-02-01;123,93;10,42;19,01
2018-03-01;102,28;10,84;20,28
2018-04-01;76,97;11,19;17,55
2018-05-01;72,53;9,17;11,68
2018-06-01;52,79;7,5;10,02
2018-07-01;65,06;8,35;10,19
2018-08-01;65,84;9,53;8,88
2018-09-01;51,06;10,72;8,91
2018-10-01;35,76;10,29;12,55
2018-11-01;43,48;10,1;19,42
2018-12-01;88,74;8,22;19,96
2019-01-01;81,71;9,05;22,06
2019-02-01;47,62;8,83;13,93
2019-03-01;38,27;10,8;9,78
2019-04-01;55,37;9,7;10,16
2019-05-01;72,9;7,74;11,07
2019-06-01;85,89;9,85;13,52
2019-07-01;112,43;15,6;9,18
2019-08-01;92,92;16,17;14,92
2019-09-01;62,39;15,25;16,3
2019-10-01;54,15;13,39;11,51
2019-11-01;63,07;10,56;8,79
2019-12-01;49,39;8,73;6,67
2020-01-01;53,79;8,31;7,98
2020-02-01;46,38;10,0;13,58
2020-03-01;102,34;25,03;53,27
2020-04-01;126,12;32,96;71,28
2020-05-01;69,46;19,64;33,11
2020-06-01;65,25;15,13;24,76
2020-07-01;38,48;11,23;22,35
2020-08-01;51,25;20,54;12,7
2020-09-01;50,12;22,86;16,4
2020-10-01;41,83;14,16;17,9
2020-11-01;44,57;17,17;18,64
2020-12-01;72,5;18,34;14,4
2021-01-01;94,37;16,96;10,34
2021-02-01;109,69;16,6;14,56
2021-03-01;87,06;15,74;16,63
2021-04-01;57,99;13,91;13,56
2021-05-01;79,21;11,95;12,1
2021-06-01;100,74;13,01;11,18
2021-07-01;81,29;13,57;9,85
2021-08-01;69,74;11,84;9,94
2021-09-01;63,3;14,15;9,04
2021-10-01;70,57;13,57;12,73
2021-11-01;62,94;12,17;9,48
2021-12-01;57,57;11,73;14,51
2022-01-01;49,75;11,09;15,13
2022-02-01;59,53;12,26;17,34
2022-03-01;69,69;17,78;23,47
2022-04-01;54,32;16,87;21,89
2022-05-01;64,18;13,58;24,77
2022-06-01;89,01;14,59;28,14
2022-07-01;86,55;14,28;24,33
2022-08-01;57,51;12,74;17,89
2022-09-01;59,55;12,48;20,07
2022-10-01;47,29;16,42;25,89
2022-11-01;57,07;18,17;26,05
2022-12-01;59,83;17,08;22,41
2023-01-01;35,44;14,71;17,33
2023-02-01;45,14;14,67;14,38
2023-03-01;66,7;15,82;15,03
2023-04-01;69,28;18,41;14,16
2023-05-01;41,55;13,78;11,68
2023-06-01;42,45;12,45;12,32
2023-07-01;43,19;10,09;11,11
2023-08-01;27,15;9,49;10,91
2023-09-01;36,1;7,52;11,37
2023-10-01;33,56;12,43;12,05
2023-11-01;46,01;13,86;14,23
2023-12-01;50,08;14,2;10,6
2024-01-01;52,44;12,84;10,21
2024-02-01;48,52;9,66;10,79
2024-03-01;62,01;10,87;11,0
2024-04-01;71,64;13,64;10,14
2024-05-01;54,61;17,02;11,87
2024-06-01;45,08;18,29;9,09
2024-07-01;45,55;17,09;8,74
2024-08-01;68,21;16,14;17,26
2024-09-01;58,41;13,94;15,82
2024-10-01;41,06;12,15;11,2
2024-11-01;56,94;16,38;10,2
2024-12-01;61,4;18,69;10,22
2025-01-01;46,37;14,16;13,54
2025-02-01;37,3;12,41;12,15
2025-03-01;45,73;13,99;15,21
2025-04-01;54,93;20,0;33,85
2025-05-01;43,58;28,98;30,88
2025-06-01;33,96;23,22;11,84
2025-07-01;28,93;15,08;9,55
2025-08-01;27,09;13,9;9,51
2025-09-01;34,17;13,06;9,26
2025-10-01;36,78;20,1;10,17
2025-11-01;41,24;30,43;13,3
2025-12-01;45,07;16,98;12,16
2026-01-01;38,51;21,68;9,48
2026-02-01;65,42;47,38;11,95
2026-03-01;64,05;41,23;15,26
2026-04-01;38,5;33,14;20,38
