date,BTC_drawdown_pct,ETH_drawdown_pct,GOLD_drawdown_pct,ETF_drawdown_pct,EM_drawdown_pct,BOND_drawdown_pct
2017-11-09,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-10,-7.36,-6.74,-0.82,-0.17,-0.43,-1.51
2017-11-13,-8.18,-1.3,-0.67,-0.31,-0.65,-1.3
2017-11-14,-7.11,0.0,-0.47,-0.51,-1.31,-0.63
2017-11-15,0.0,-1.27,-0.59,-1.01,-1.83,0.0
2017-11-16,0.0,-1.99,-0.6,-0.01,0.0,-0.87
2017-11-17,-2.07,-1.55,0.0,-0.17,0.0,-0.13
2017-11-20,0.0,0.0,-1.26,0.0,0.0,-0.17
2017-11-21,-1.58,-1.73,-1.1,0.0,0.0,0.0
2017-11-22,0.0,0.0,-0.19,0.0,0.0,0.0
2017-11-24,0.0,0.0,-0.44,0.0,-0.21,-0.28
2017-11-27,0.0,0.0,-0.02,-0.36,-1.67,-0.42
2017-11-28,0.0,-1.55,-0.04,0.0,-0.94,-0.28
2017-11-29,-1.69,-11.0,-0.67,-0.38,-2.51,-1.27
2017-11-30,0.0,-6.92,-1.43,0.0,-3.58,-1.6
2017-12-01,0.0,-2.88,-1.03,-0.25,-4.12,-0.27
2017-12-04,0.0,-2.11,-1.37,-0.5,-3.93,-0.22
2017-12-05,0.0,-3.55,-2.07,-0.79,-3.99,0.0
2017-12-06,0.0,-10.78,-2.27,-0.99,-5.29,0.0
2017-12-07,0.0,-9.57,-3.56,-0.73,-5.02,-0.78
2017-12-08,-7.43,-5.06,-3.57,-0.15,-3.91,-0.78
2017-12-11,-5.38,0.0,-3.95,0.0,-3.43,-0.98
2017-12-12,-2.71,0.0,-3.83,0.0,-4.08,-1.02
2017-12-13,-8.33,0.0,-3.0,0.0,-2.93,-0.27
2017-12-14,-7.46,-0.99,-3.2,-0.51,-3.64,0.0
2017-12-15,-1.08,-2.61,-3.0,-0.11,-3.43,0.0
2017-12-18,0.0,0.0,-2.55,0.0,-2.34,-0.91
2017-12-19,-7.0,0.0,-2.47,-0.32,-2.86,-2.2
2017-12-20,-13.02,-0.94,-2.21,-0.39,-2.73,-3.28
2017-12-21,-17.32,-0.7,-2.08,-0.06,-2.09,-2.72
2017-12-22,-27.64,-18.38,-1.56,0.0,-1.27,-2.58
2017-12-26,-15.77,-6.41,-0.89,-0.11,-1.35,-2.29
2017-12-27,-17.14,-7.74,-0.51,0.0,-1.1,-1.02
2017-12-28,-23.58,-10.86,-0.01,0.0,-0.42,-1.11
2017-12-29,-23.32,-8.86,0.0,-0.1,0.0,-0.95
2018-01-02,-21.62,0.0,0.0,0.0,0.0,-2.02
2018-01-03,-20.47,0.0,-0.26,0.0,0.0,-1.55
2018-01-04,-18.39,0.0,0.0,0.0,0.0,-1.57
2018-01-05,-8.81,0.0,-0.1,0.0,0.0,-1.85
2018-01-08,-20.63,0.0,-0.12,0.0,0.0,-1.91
2018-01-09,-23.64,0.0,-0.58,0.0,-0.16,-3.22
2018-01-10,-21.66,-3.38,-0.34,-0.23,-0.79,-3.34
2018-01-11,-29.86,-11.14,-0.02,0.0,-0.18,-2.94
2018-01-12,-26.86,-2.04,0.0,0.0,0.0,-2.78
2018-01-16,-39.89,-18.93,0.0,-0.17,-0.38,-2.37
2018-01-17,-41.46,-21.97,-0.81,0.0,0.0,-2.51
2018-01-18,-39.97,-20.27,-1.03,-0.13,0.0,-3.41
2018-01-19,-39.27,-20.05,-0.59,0.0,0.0,-3.92
2018-01-22,-42.81,-22.81,-0.41,0.0,0.0,-3.83
2018-01-23,-43.14,-24.12,0.0,0.0,0.0,-3.41
2018-01-24,-40.57,-18.54,0.0,0.0,0.0,-3.93
2018-01-25,-41.09,-18.75,-0.67,-0.09,-0.06,-3.15
2018-01-26,-41.55,-18.82,-0.59,0.0,0.0,-3.5
2018-01-29,-40.9,-9.03,-1.15,-0.86,-1.52,-4.18
2018-01-30,-47.13,-17.59,-1.58,-1.83,-2.86,-4.74
2018-01-31,-46.53,-13.96,-0.92,-1.73,-2.02,-4.18
2018-02-01,-52.02,-20.23,-0.59,-1.79,-3.34,-5.57
2018-02-02,-53.8,-29.54,-1.89,-3.93,-5.82,-6.44
2018-02-05,-63.61,-46.3,-1.65,-7.75,-9.12,-5.56
2018-02-06,-59.43,-38.98,-2.68,-5.79,-6.16,-6.14
2018-02-07,-60.13,-41.75,-3.14,-6.89,-9.12,-7.04
2018-02-08,-56.76,-37.08,-2.99,-9.94,-12.27,-7.14
2018-02-09,-54.29,-32.0,-3.15,-8.9,-10.87,-7.72
2018-02-12,-53.3,-33.16,-2.69,-7.63,-9.47,-7.32
2018-02-13,-55.02,-34.97,-2.13,-7.47,-8.77,-6.9
2018-02-14,-50.33,-28.94,-0.47,-5.89,-6.49,-7.94
2018-02-15,-46.81,-27.91,-0.35,-4.84,-4.57,-7.62
2018-02-16,-46.46,-27.35,-0.68,-4.73,-4.88,-7.12
2018-02-20,-40.34,-31.11,-2.01,-5.53,-6.18,-7.53
2018-02-21,-44.07,-34.6,-2.46,-5.95,-6.26,-8.66
2018-02-22,-47.66,-37.46,-1.96,-5.75,-6.2,-8.39
2018-02-23,-46.11,-33.51,-2.09,-4.58,-4.53,-7.58
2018-02-26,-45.76,-33.12,-1.85,-3.56,-3.65,-7.54
2018-02-27,-43.89,-32.43,-2.87,-5.03,-6.45,-7.68
2018-02-28,-45.6,-34.2,-2.97,-6.13,-7.8,-7.09
2018-03-01,-42.71,-32.89,-3.19,-7.3,-7.97,-6.46
2018-03-02,-42.0,-34.08,-2.67,-6.87,-7.58,-7.22
2018-03-05,-39.45,-34.32,-2.83,-6.14,-7.45,-7.47
2018-03-06,-43.6,-37.15,-1.79,-5.65,-6.59,-7.38
2018-03-07,-47.86,-42.08,-2.41,-5.71,-6.49,-7.48
2018-03-08,-50.85,-45.79,-2.65,-5.36,-6.47,-6.95
2018-03-09,-51.15,-43.92,-2.55,-4.14,-4.47,-7.56
2018-03-12,-51.84,-46.16,-2.55,-4.1,-4.24,-7.03
2018-03-13,-51.9,-46.85,-2.37,-4.75,-5.11,-6.56
2018-03-14,-56.73,-52.74,-2.43,-4.94,-4.95,-5.74
2018-03-15,-56.57,-52.97,-3.05,-4.98,-5.3,-5.74
2018-03-16,-56.38,-53.71,-3.28,-5.02,-5.51,-6.07
2018-03-19,-54.85,-57.17,-3.07,-6.02,-6.53,-6.37
2018-03-20,-53.37,-57.13,-3.51,-5.89,-5.49,-6.75
2018-03-21,-53.28,-56.78,-1.82,-5.8,-4.93,-6.64
2018-03-22,-54.34,-58.48,-2.21,-8.03,-8.1,-5.72
2018-03-23,-53.54,-58.48,-0.95,-9.61,-9.97,-5.79
2018-03-26,-57.05,-62.3,-0.43,-7.49,-7.05,-6.15
2018-03-27,-59.02,-65.37,-1.04,-8.82,-8.74,-5.15
2018-03-28,-58.38,-65.66,-2.41,-8.76,-9.2,-4.9
2018-03-29,-62.51,-70.3,-2.36,-7.53,-7.3,-4.43
2018-04-02,-62.94,-70.27,-1.22,-9.39,-8.97,-4.25
2018-04-03,-60.99,-67.92,-1.96,-8.42,-8.06,-4.98
2018-04-04,-64.14,-70.72,-1.85,-7.78,-8.03,-5.18
2018-04-05,-64.36,-70.51,-2.35,-7.12,-7.8,-5.89
2018-04-06,-65.28,-71.51,-1.89,-8.67,-9.6,-4.86
2018-04-09,-64.58,-69.34,-1.56,-8.19,-9.5,-4.7
2018-04-10,-64.24,-68.13,-1.33,-6.76,-7.74,-4.87
2018-04-11,-63.54,-66.87,-0.56,-7.17,-7.7,-4.54
2018-04-12,-58.73,-62.07,-1.72,-6.65,-7.74,-5.24
2018-04-13,-58.69,-62.09,-1.07,-6.86,-8.66,-5.02
2018-04-16,-57.84,-60.67,-0.93,-6.41,-8.54,-4.98
2018-04-17,-58.66,-61.31,-0.84,-5.73,-8.35,-4.72
2018-04-18,-57.29,-59.62,-0.76,-5.42,-7.57,-5.49
2018-04-19,-56.61,-56.31,-0.95,-5.82,-8.1,-6.26
2018-04-20,-53.72,-52.63,-1.71,-6.55,-9.25,-6.93
2018-04-23,-53.28,-50.56,-2.49,-6.68,-9.98,-6.91
2018-04-24,-49.27,-45.52,-2.02,-7.57,-10.41,-7.33
2018-04-25,-53.72,-52.65,-2.65,-7.56,-11.1,-7.95
2018-04-26,-51.44,-49.0,-3.0,-6.81,-9.81,-7.31
2018-04-27,-52.98,-50.22,-2.58,-6.62,-9.25,-6.59
2018-04-30,-51.66,-48.46,-3.29,-7.16,-9.91,-6.43
2018-05-01,-52.29,-48.17,-3.97,-7.26,-10.35,-6.77
