date,BTC_sharpe_12m,ETH_sharpe_12m,GOLD_sharpe_12m,ETF_sharpe_12m,EM_sharpe_12m,BOND_sharpe_12m
2017-11-01,,,,,,
2017-12-01,,,,,,
2018-01-01,,,,,,
2018-02-01,,,,,,
2018-03-01,,,,,,
2018-04-01,,,,,,
2018-05-01,,,,,,
2018-06-01,,,,,,
2018-07-01,,,,,,
2018-08-01,,,,,,
2018-09-01,,,,,,
2018-10-01,,,,,,
2018-11-01,-0.6513,-0.2643,-0.9715,-0.2209,-0.607,-0.9482
2018-12-01,-1.5143,-0.6946,-0.4819,-0.8277,-1.0558,-0.3673
2019-01-01,-1.2662,-1.3783,-0.5306,-0.5965,-0.8656,-0.0104
2019-02-01,-1.0872,-0.8844,-0.3694,-0.1351,-0.6523,0.1723
2019-03-01,-0.5858,-0.4339,-0.6294,0.0766,-0.6165,0.418
2019-04-01,-0.5532,-1.4327,-0.5966,0.2783,-0.3195,0.4286
2019-05-01,0.4924,-0.2713,-0.2413,-0.1485,-0.5477,0.7713
2019-06-01,1.1248,0.117,0.8903,0.267,0.0222,0.7971
2019-07-01,0.6413,-0.1588,1.1559,0.0965,-0.2979,0.96
2019-08-01,0.6958,-0.0494,1.9013,-0.0711,-0.2987,1.3675
2019-09-01,0.6025,0.2232,1.5324,0.0225,-0.1803,1.3852
2019-10-01,0.7714,0.3594,1.5655,0.6799,0.546,1.5595
2019-11-01,1.0825,0.6988,1.1925,0.7261,0.265,1.3898
2019-12-01,1.0759,0.3149,1.1214,1.7264,0.893,0.7754
2020-01-01,1.4938,0.9212,1.2174,1.1048,-0.0511,1.161
2020-02-01,1.254,0.9056,1.215,0.1788,-0.185,1.6239
2020-03-01,0.8348,0.3808,1.3461,-0.6326,-0.8775,1.6541
2020-04-01,0.8654,0.6942,1.8351,-0.2738,-0.6192,1.9189
2020-05-01,0.422,0.2315,1.8964,0.2355,-0.1991,1.3918
2020-06-01,-0.2229,0.0973,1.6848,0.0747,-0.1813,1.3489
2020-07-01,0.4256,0.8766,2.1173,0.3183,0.2679,1.6033
2020-08-01,0.5505,1.3978,1.6561,0.6904,0.5469,0.6712
2020-09-01,0.6545,1.1156,1.564,0.4443,0.434,0.9408
2020-10-01,0.8389,1.1573,1.3338,0.2199,0.3233,0.7493
2020-11-01,1.578,1.7683,1.115,0.5735,0.6635,0.8949
2020-12-01,2.1415,2.216,1.2638,0.6198,0.6437,1.0679
2021-01-01,2.0373,2.2657,0.7762,0.6679,1.072,0.2869
2021-02-01,2.6021,2.0714,0.4111,1.1526,1.3097,-0.6695
2021-03-01,4.0798,3.1683,0.3603,2.8107,3.684,-1.8105
2021-04-01,3.3722,3.1409,0.1731,2.7048,3.2635,-1.6371
2021-05-01,1.9969,2.7986,0.4279,2.4475,3.1182,-1.4757
2021-06-01,2.0194,2.664,-0.0842,2.3062,2.7271,-1.0155
2021-07-01,1.9877,2.3357,-0.5803,2.0073,1.2893,-1.0976
2021-08-01,2.1068,2.4265,-0.5657,1.7982,1.1976,-0.7737
2021-09-01,2.1167,2.51,-0.5164,1.6273,0.9247,-1.0759
2021-10-01,2.2135,2.8633,-0.3963,2.2657,0.9012,-0.5786
2021-11-01,1.6604,2.467,-0.1277,1.6309,-0.0135,-0.4756
2021-12-01,0.9339,1.9222,-0.3891,1.59,-0.5706,-0.5361
2022-01-01,0.4884,1.1026,-0.2903,0.9715,-0.9512,-0.5551
2022-02-01,0.233,1.1479,0.5723,0.4643,-1.4052,-0.2506
2022-03-01,-0.0532,0.9628,0.7514,0.3919,-1.6246,-0.2662
2022-04-01,-0.2322,0.317,0.3489,-0.5635,-2.1805,-1.0517
2022-05-01,0.0539,0.0799,-0.4924,-0.6435,-2.3394,-1.211
2022-06-01,-0.4324,-0.3352,-0.045,-1.1776,-2.9131,-1.7898
2022-07-01,-0.4356,0.1824,-0.5638,-0.6862,-2.5371,-1.9743
2022-08-01,-0.8086,-0.2587,-0.8247,-1.0596,-3.045,-2.2859
2022-09-01,-0.7541,-0.276,-0.7991,-1.2401,-2.7156,-2.4365
