date,BTC_vol_30d,ETH_vol_30d,GOLD_vol_30d,ETF_vol_30d,EM_vol_30d,BOND_vol_30d
2017-11-09,,,,,,
2017-11-10,,,,,,
2017-11-13,,,,,,
2017-11-14,,,,,,
2017-11-15,,,,,,
2017-11-16,,,,,,
2017-11-17,,,,,,
2017-11-20,,,,,,
2017-11-21,,,,,,
2017-11-22,,,,,,
2017-11-24,,,,,,
2017-11-27,,,,,,
2017-11-28,,,,,,
2017-11-29,,,,,,
2017-11-30,,,,,,
2017-12-01,,,,,,
2017-12-04,,,,,,
2017-12-05,,,,,,
2017-12-06,,,,,,
2017-12-07,,,,,,
2017-12-08,,,,,,
2017-12-11,,,,,,
2017-12-12,,,,,,
2017-12-13,,,,,,
2017-12-14,,,,,,
2017-12-15,,,,,,
2017-12-18,,,,,,
2017-12-19,,,,,,
2017-12-20,,,,,,
2017-12-21,,,,,,
2017-12-22,134.16,143.77,9.32,6.76,14.16,11.22
2017-12-26,136.56,144.7,9.24,6.74,14.09,10.32
2017-12-27,136.78,145.25,9.29,6.7,14.08,10.94
2017-12-28,140.41,146.2,9.38,6.64,14.0,10.8
2017-12-29,138.91,145.65,9.53,6.41,13.89,10.36
2018-01-02,138.13,150.82,10.09,6.34,13.67,10.53
2018-01-03,137.49,151.19,9.59,6.36,13.84,10.4
2018-01-04,137.03,150.11,8.82,6.55,13.83,10.4
2018-01-05,139.0,149.35,8.84,6.47,13.55,10.39
2018-01-08,146.46,152.82,8.5,6.47,13.55,10.34
2018-01-09,147.41,142.6,8.59,6.47,13.54,11.0
2018-01-10,138.73,143.92,8.54,6.38,12.88,11.0
2018-01-11,143.16,147.14,8.57,6.3,12.83,11.07
2018-01-12,143.11,143.07,8.92,6.31,11.89,10.73
2018-01-16,153.52,155.82,8.5,6.35,11.36,10.75
2018-01-17,152.6,157.13,8.92,6.45,11.46,9.98
2018-01-18,151.78,157.0,8.87,6.38,11.47,10.31
2018-01-19,151.7,156.64,8.55,6.23,11.48,10.24
2018-01-22,140.77,154.67,8.48,6.23,10.27,10.18
2018-01-23,117.7,155.26,7.24,6.23,10.26,10.09
2018-01-24,117.46,155.65,7.73,6.19,10.11,10.17
2018-01-25,117.07,153.22,7.97,6.26,10.2,10.5
2018-01-26,116.48,136.04,7.98,6.66,10.05,10.54
2018-01-29,115.84,138.14,8.13,7.45,11.35,10.4
2018-01-30,118.93,141.89,8.26,7.96,12.02,10.36
2018-01-31,116.6,141.68,8.36,7.95,12.1,10.47
2018-02-01,115.66,137.67,8.34,7.71,12.89,10.92
2018-02-02,114.86,142.36,9.45,10.25,15.18,10.64
2018-02-05,127.12,159.1,9.45,15.7,18.66,10.69
2018-02-06,133.19,163.96,10.1,16.85,20.72,10.61
2018-02-07,129.43,155.44,10.18,17.21,22.78,10.85
2018-02-08,121.62,151.45,10.03,19.69,24.98,10.77
2018-02-09,123.6,152.83,10.02,20.02,25.41,9.9
2018-02-12,122.68,152.49,10.01,20.44,25.75,10.08
2018-02-13,122.76,152.82,9.97,20.44,25.81,10.21
2018-02-14,127.12,146.89,10.55,20.86,26.25,10.23
2018-02-15,129.16,144.82,10.5,21.06,26.76,10.16
2018-02-16,128.81,144.75,10.49,20.97,26.76,10.37
2018-02-20,128.55,145.54,11.26,21.03,26.97,10.4
2018-02-21,124.56,139.01,11.34,21.06,26.97,10.81
2018-02-22,125.33,133.07,11.34,21.06,26.97,10.39
2018-02-23,125.43,134.65,11.33,21.38,27.38,10.84
2018-02-26,122.17,132.97,11.32,21.52,27.44,10.73
2018-02-27,121.91,129.08,11.16,21.84,28.65,10.68
2018-02-28,110.77,119.59,11.14,22.07,28.92,10.8
2018-03-01,111.58,119.36,10.92,22.16,28.62,11.08
2018-03-02,111.4,119.22,11.03,22.23,28.65,11.01
2018-03-05,112.05,119.2,10.95,22.32,28.53,10.96
2018-03-06,112.58,119.42,11.4,22.26,28.62,10.95
2018-03-07,114.79,121.32,11.45,22.22,28.58,10.83
2018-03-08,115.11,120.03,10.82,22.26,28.43,10.95
2018-03-09,115.1,120.72,10.69,22.65,29.2,10.7
2018-03-12,115.14,121.01,10.68,22.38,28.89,10.89
2018-03-13,115.05,114.44,10.6,22.33,28.68,10.89
2018-03-14,114.7,115.54,10.54,22.19,28.44,11.13
2018-03-15,114.63,114.21,10.47,22.18,28.32,10.97
2018-03-16,110.77,112.98,10.41,22.18,28.07,10.19
2018-03-19,110.69,110.33,9.77,21.5,27.24,9.87
2018-03-20,90.44,87.59,9.8,18.02,25.31,9.52
2018-03-21,84.8,76.68,10.66,16.94,23.58,9.37
2018-03-22,84.94,76.46,10.63,17.99,23.8,9.37
2018-03-23,81.71,71.6,11.24,15.99,22.27,9.37
2018-03-26,83.2,69.47,11.29,17.05,23.7,9.24
2018-03-27,83.92,71.8,11.41,17.1,23.97,9.63
2018-03-28,83.45,71.86,12.04,17.09,23.91,9.59
2018-03-29,81.92,71.14,10.89,16.8,23.57,8.97
2018-04-02,78.44,70.56,11.46,17.34,23.27,8.95
2018-04-03,80.43,76.46,11.62,17.69,23.49,9.22
2018-04-04,74.0,78.18,10.95,17.71,23.19,9.14
2018-04-05,72.7,78.44,10.97,17.82,23.2,8.63
2018-04-06,71.23,78.29,10.95,18.42,23.85,9.08
2018-04-09,70.8,79.65,10.99,18.07,23.18,8.79
2018-04-10,70.88,81.32,10.99,18.41,23.78,8.83
2018-04-11,70.13,82.78,10.72,17.94,22.28,8.83
2018-04-12,81.57,95.88,11.3,17.73,21.88,9.01
2018-04-13,79.55,95.39,11.41,17.35,22.07,8.84
2018-04-16,79.79,96.68,11.32,17.36,22.04,8.45
2018-04-17,78.21,96.62,11.3,17.34,22.04,8.4
2018-04-18,77.3,97.74,10.89,17.3,22.02,8.8
2018-04-19,74.88,99.43,10.73,17.34,22.07,9.15
2018-04-20,75.96,101.36,10.95,17.45,22.34,9.27
2018-04-23,76.0,101.69,11.21,16.99,21.4,9.06
